Jitter,Shimmer,HNR,NHR,VTL,VFER,GNE,GQ,F0,F1,F2,F3,Label
2.1298701298701282e-05,0.010741791,20.789673424182926,0.04589329911159502,24.71,0.9493670749513401,0.9909154572622242,0.7863189784999338,333.1,354.04,2273.97,2948.08,1
0.0,0.0067704725,24.66288219980701,0.03896678448718906,20.8,0.9999999845505025,0.9965683345181183,0.5998184916418517,224.6,420.7,1842.59,2683.41,1
6.419753086419748e-06,0.001926375,25.036022357562008,0.038408324676736036,28.56,0.9999999617198148,0.9968625972307655,0.5523481450150861,277.9,306.37,910.5,2404.11,1
0.0005169747899159664,0.0066610384,16.62799123324679,0.05672796104606505,9.84,0.9999999927754327,0.9787130656620787,0.6224134899039733,214.55,889.55,1272.0,3031.11,1
0.0,0.0032036442,21.989002054705164,0.043499060882259126,33.68,0.9999999613649071,0.9936697203604358,0.7675813171542964,229.02,259.77,2746.39,3519.7,1
6.617283950617285e-05,0.005292351,20.859650193263843,0.045746386202838454,30.47,0.9999999760302306,0.9906966268644991,0.6845175490053772,151.66,287.19,2354.26,3040.28,1
3.7777777777777827e-06,0.0043151854,16.670110986656013,0.05659274017889151,22.12,0.9999999752644813,0.9784452542164583,0.6826536866397378,330.19,395.54,2221.75,3069.76,1
5.409836065573752e-06,0.010108823,23.757896769131733,0.040391153147015496,26.36,0.9999999827422875,0.9957750981691685,0.6626612683519351,253.66,332.0,0.0,2465.05,1
8.999999999999993e-06,0.004489136,16.88275693694059,0.055919789299058796,9.48,0.999999994464052,0.9799005270738279,0.8042328652523669,252.37,922.93,1381.47,2988.1,1
0.0,0.0026360874,26.58502517861934,0.03625155291774329,31.94,0.9999999408283868,0.9977771847751284,0.6242372314798765,148.55,273.95,2430.04,3315.45,1
3.456521739130436e-05,0.00595137,17.674832753945164,0.053548002982181694,23.93,0.9788730900375419,0.9688774289949669,0.6560285209627684,265.11,365.69,2218.52,3110.87,1
8.01153504880213e-05,0.008347895,22.286718916954296,0.04294293256023857,17.67,0.47390917411329453,0.993093181887649,0.5520847997228756,235.82,495.3,1959.01,3068.93,1
0.00023902439024390244,0.029873174,22.531924456682866,0.04249546193473388,17.27,0.892857019636263,1.003574092941388,0.5598489978351159,191.28,506.64,1920.07,3078.29,1
5.984732824427481e-05,0.001216044,24.350182879796517,0.03944744717392062,17.2,0.9999997810331354,0.9963204484130532,0.5355868754770811,185.84,508.63,2137.26,3156.63,1
0.0004437209302325581,0.005759306,24.754452835452845,0.03882823705823129,24.52,0.9999999702078836,0.9966318453839609,0.7073043359849175,205.6,356.8,857.13,2509.01,1
6.642687277051129e-05,0.0056333314,18.74528978329679,0.05064498981655533,16.62,0.7723603403813941,0.970026570574386,0.5960597785425246,257.29,526.56,1690.5,2994.67,1
7.234042553191476e-06,0.008166699,16.52736183825582,0.057053651840367994,9.95,0.9999999834382804,0.9781819487202977,0.7601649772903497,263.04,879.79,1445.05,2528.75,1
5.607476635514005e-06,0.003731986,23.46652907844828,0.04087216444938508,24.1,0.9999999827193269,0.9954969635823162,0.622139073278088,268.76,363.03,807.07,2487.55,1
4.3750000000000115e-06,0.0052080154,23.504173414030863,0.040809374921718815,22.56,0.9999999980493623,0.9955431729782606,0.6431887775451729,355.06,387.87,834.66,2457.42,1
4.817518248175192e-06,0.0037681411,19.38408086847937,0.04905789014732254,16.48,0.9999999790136026,0.9884112896479779,0.4792583561620804,266.47,531.05,2768.92,3581.45,1
1.3866666666666674e-05,0.008376058,22.96589313364041,0.04172596424525992,22.43,0.9999999954391052,0.9949425349128305,0.5841955094927869,361.71,390.17,957.93,2460.43,1
0.0,0.0057758368,20.653529150677542,0.04618184837406561,27.45,0.9999999803407387,0.9914071862639144,0.6352003784400679,202.48,318.76,2458.3,3224.81,1
2.6153846153846157e-05,0.012872549,17.074187922597467,0.0553275203446202,10.76,0.8999999939755938,0.9802993313514432,0.7665782851506181,292.98,813.44,1399.43,2667.56,1
6.165413533834577e-06,0.0032587266,21.928735237629244,0.043613395577042594,31.23,0.9999999796218944,0.9935881934898656,0.6842581472015709,256.75,280.19,2743.23,3488.71,1
0.00017963636363636364,0.025341427,22.359845513592813,0.04280850228303573,22.36,0.694117484969459,0.9720710375384543,0.4589538363572755,110.3,391.41,1700.91,2795.23,1
0.00027842931937172775,0.03035876,21.4615099632301,0.04452060443118108,19.11,0.7244897435955611,0.9862899693267474,0.5264741775080702,243.51,457.92,1957.64,2988.82,1
6.333333333333343e-06,0.0038604736,21.02570365953279,0.04540150069472114,16.37,0.9999999855383467,0.9921413341425502,0.6312828132567407,356.83,534.53,1408.09,3201.05,1
0.00039353658536585366,0.009396995,20.015739884562375,0.04758338300211711,13.16,0.9999999907214855,0.989902997752009,0.6351376847204451,232.1,664.9,1217.4,2538.99,1
4.948453608247436e-06,0.004221808,18.80653227340405,0.05048839373779664,27.16,0.9999999643810366,0.986630783174685,0.5794218349002701,251.06,322.15,2558.94,3410.38,1
0.0,0.0024329154,19.659901799452676,0.04840294061932531,28.4,0.9999999479422664,0.9891206250448107,0.6229072712881686,117.71,308.15,2232.57,2926.76,1
3.111111111111119e-06,0.008879598,17.09177026979062,0.05527375072133133,9.8,0.9999999917735092,0.9808171357249776,0.6144432236350739,248.75,892.59,1361.75,3028.99,1
0.00017642857142857144,0.0038359505,24.718338338984662,0.03888276088522285,13.65,0.9999998983477645,0.9965060706191118,0.6161532241986174,134.59,640.85,2083.5,3482.56,1
0.0005516981132075472,0.0036730496,23.385307166146696,0.04100830033374632,20.24,0.9999999791146588,0.99537808498426,0.756440582128091,152.86,432.24,1489.69,3156.01,1
0.0,0.0018066172,22.581801417761714,0.04240558141783028,30.6,0.9999998380815027,0.9937551854123026,0.6981830875335203,153.02,285.97,2412.81,2947.43,1
5e-06,0.0076076803,20.817109422216372,0.045835586220312925,13.56,0.9999999886119636,0.9916850870961833,0.5860033305320127,103.37,645.07,1128.26,2321.14,1
0.0,0.0091832215,16.72288310351817,0.056424228166436975,10.24,0.9999999895143358,0.979105889338498,0.7293869106839352,243.13,854.26,1325.62,3126.06,1
6.956521739130453e-06,0.004193845,18.476684753687778,0.05134344025415603,11.05,0.999999989099239,0.985956507359457,0.634833110770336,262.25,791.85,1271.09,2609.04,1
0.00012944444444444443,0.010034366,19.413917049809516,0.0489861890572016,14.68,0.6729152008898874,0.9813805950390854,0.5983698575962586,290.02,595.86,1986.98,3153.85,1
1.7865168539325843e-05,0.00087317993,25.64301442484924,0.03753329049235984,13.95,0.9999995059821309,0.9972100274588088,0.5718363490827868,105.02,627.2,2126.15,3292.9,1
0.0,0.0028193546,22.83929006451124,0.04194755788842332,18.77,0.999999969461607,0.9948071954850375,0.502864474215317,228.29,466.29,0.0,3041.86,1
3.4666666666666665e-05,0.004603068,14.61927459560867,0.06402345985268407,23.88,0.9148935273046064,0.9575466775164713,0.6676116649678324,323.22,366.45,2576.91,3352.51,1
0.0001298076923076923,0.0030701235,19.905382322426178,0.04783457123992674,15.34,0.5899914167149438,0.9829321346085982,0.6165393727627474,119.71,570.51,1924.52,2957.32,1
0.0004902857142857144,0.006702096,18.20653974537219,0.052065599179099906,9.99,0.9999999910102849,0.9849085278024777,0.6144132050223093,224.86,876.18,1449.4,3318.07,1
0.0006116666666666666,0.009429932,17.290510999562365,0.05467315812138474,10.43,0.9999999950388445,0.9815031677399142,0.5482582917010406,226.49,838.8,1389.05,2868.84,1
3.9024390243902435e-06,0.0035597638,22.769852845493073,0.04207009637376055,28.8,0.9999999804192367,0.9947211734036469,0.7003866487269339,274.91,303.85,2511.08,3047.21,1
0.00024486486486486486,0.019290822,22.214864437386094,0.043075849212781195,19.18,0.8421051432878589,0.9866018226726099,0.5233016260870526,201.63,456.25,1927.6,2777.06,1
9.21568627450978e-06,0.0052789426,19.675338391625832,0.04836680208363756,18.26,0.9999999766978528,0.9892485565614914,0.6066374189612099,266.86,479.12,807.64,2899.07,1
